#imageName, isWithoutDysgraphia,diffAngle, performanceTime 
answer_1_[0].png,1,0,1.476
answer_1_[1].png,1,0,1.77
answer_1_[2].png,1,0,0.917
answer_1_[3].png,1,0,0.783
answer_1_[4].png,1,0,0.694
answer_0_[0].png,0,2.23,3.203
answer_0_[1].png,0,12.916,2.392
answer_0_[2].png,0,0.688,2.271
answer_0_[3].png,0,1.587,2.785
answer_0_[4].png,0,1.519,2.656
documentation_1_[0].png,1,0,1.476
documentation_1_[1].png,1,0,1.77
documentation_1_[2].png,1,0,0.917
documentation_1_[3].png,1,0,0.783
documentation_1_[4].png,1,0,0.694
documentation_0_[0].png,0,0.342,3.203
documentation_0_[1].png,0,1.358,2.392
documentation_0_[2].png,0,0.392,2.271
documentation_0_[3].png,0,3.3,2.785
documentation_0_[4].png,0,0.061,2.656
voice_1_[0].png,1,0,0.905
voice_1_[1].png,1,0,0.751
voice_1_[2].png,1,0,1.379
voice_1_[3].png,1,0,1.135
voice_1_[4].png,1,0,0.674
voice_0_[0].png,0,1.003,2.017
voice_0_[1].png,0,18.124,3.12
voice_0_[2].png,0,0.587,1.955
voice_0_[3].png,0,2.994,3.075
voice_0_[4].png,0,9.053,2.327
the_1_[0].png,1,0,1.476
the_1_[1].png,1,0,1.77
the_1_[2].png,1,0,0.917
the_1_[3].png,1,0,0.783
the_1_[4].png,1,0,0.694
the_0_[0].png,0,5.75,3.203
the_0_[1].png,0,0.174,2.392
the_0_[2].png,0,1.697,2.271
the_0_[3].png,0,5.194,2.785
the_0_[4].png,0,4.683,2.656
monitor_1_[0].png,1,0,0.905
monitor_1_[1].png,1,0,0.751
monitor_1_[2].png,1,0,1.379
monitor_1_[3].png,1,0,1.135
monitor_1_[4].png,1,0,0.674
monitor_0_[0].png,0,6.336,2.017
monitor_0_[1].png,0,3.947,3.12
monitor_0_[2].png,0,0.034,1.955
monitor_0_[3].png,0,4.872,3.075
monitor_0_[4].png,0,5.128,2.327
analysis_1_[0].png,1,0,1.476
analysis_1_[1].png,1,0,1.77
analysis_1_[2].png,1,0,0.917
analysis_1_[3].png,1,0,0.783
analysis_1_[4].png,1,0,0.694
analysis_0_[0].png,0,5.332,3.203
analysis_0_[1].png,0,9.387,2.392
analysis_0_[2].png,0,2.357,2.271
analysis_0_[3].png,0,3.506,2.785
analysis_0_[4].png,0,17.926,2.656
eg_1_[0].png,1,0,0.817
eg_1_[1].png,1,0,0.21
eg_1_[2].png,1,0,0.668
eg_1_[3].png,1,0,0.25
eg_1_[4].png,1,0,0.541
eg_0_[0].png,0,18.536,2.029
eg_0_[1].png,0,9.013,3.271
eg_0_[2].png,0,6.062,2.528
eg_0_[3].png,0,19.21,2.027
eg_0_[4].png,0,6.085,2.21
of_1_[0].png,1,0,0.905
of_1_[1].png,1,0,0.751
of_1_[2].png,1,0,1.379
of_1_[3].png,1,0,1.135
of_1_[4].png,1,0,0.674
of_0_[0].png,0,11.524,2.017
of_0_[1].png,0,18.769,3.12
of_0_[2].png,0,4.244,1.955
of_0_[3].png,0,5.777,3.075
of_0_[4].png,0,8.936,2.327
trading_1_[0].png,1,0,0.817
trading_1_[1].png,1,0,0.21
trading_1_[2].png,1,0,0.668
trading_1_[3].png,1,0,0.25
trading_1_[4].png,1,0,0.541
trading_0_[0].png,0,4.439,2.029
trading_0_[1].png,0,2.272,3.271
trading_0_[2].png,0,5.456,2.528
trading_0_[3].png,0,0.856,2.027
trading_0_[4].png,0,3.697,2.21
request_1_[0].png,1,0,0.905
request_1_[1].png,1,0,0.751
request_1_[2].png,1,0,1.379
request_1_[3].png,1,0,1.135
request_1_[4].png,1,0,0.674
request_0_[0].png,0,12.076,2.017
request_0_[1].png,0,13.282,3.12
request_0_[2].png,0,13.58,1.955
request_0_[3].png,0,5.323,3.075
request_0_[4].png,0,0.835,2.327
and_1_[0].png,1,0,0.817
and_1_[1].png,1,0,0.21
and_1_[2].png,1,0,0.668
and_1_[3].png,1,0,0.25
and_1_[4].png,1,0,0.541
and_0_[0].png,0,8.509,2.029
and_0_[1].png,0,3.472,3.271
and_0_[2].png,0,5.539,2.528
and_0_[3].png,0,7.862,2.027
and_0_[4].png,0,4.779,2.21
friendly_1_[0].png,1,0,2.575
friendly_1_[1].png,1,0,1.426
friendly_1_[2].png,1,0,0.641
friendly_1_[3].png,1,0,1.208
friendly_1_[4].png,1,0,2.163
friendly_0_[0].png,0,0.594,2.987
friendly_0_[1].png,0,5.592,2.153
friendly_0_[2].png,0,7.278,2.359
friendly_0_[3].png,0,2.5,2.296
friendly_0_[4].png,0,9.023,1.905
forest_1_[0].png,1,0,2.575
forest_1_[1].png,1,0,1.426
forest_1_[2].png,1,0,0.641
forest_1_[3].png,1,0,1.208
forest_1_[4].png,1,0,2.163
forest_0_[0].png,0,3.976,2.987
forest_0_[1].png,0,7.994,2.153
forest_0_[2].png,0,0.037,2.359
forest_0_[3].png,0,2.329,2.296
forest_0_[4].png,0,7.952,1.905
fax_1_[0].png,1,0,0.817
fax_1_[1].png,1,0,0.21
fax_1_[2].png,1,0,0.668
fax_1_[3].png,1,0,0.25
fax_1_[4].png,1,0,0.541
fax_0_[0].png,0,5.599,2.029
fax_0_[1].png,0,11.07,3.271
fax_0_[2].png,0,3.013,2.528
fax_0_[3].png,0,7.479,2.027
fax_0_[4].png,0,6.102,2.21
to_1_[0].png,1,0,2.575
to_1_[1].png,1,0,1.426
to_1_[2].png,1,0,0.641
to_1_[3].png,1,0,1.208
to_1_[4].png,1,0,2.163
to_0_[0].png,0,2.857,2.987
to_0_[1].png,0,8.896,2.153
to_0_[2].png,0,2.962,2.359
to_0_[3].png,0,21.872,2.296
to_0_[4].png,0,22.325,1.905
schedule_1_[0].png,1,0,1.635
schedule_1_[1].png,1,0,1.022
schedule_1_[2].png,1,0,1.142
schedule_1_[3].png,1,0,0.419
schedule_1_[4].png,1,0,1.842
schedule_0_[0].png,0,3.785,2.639
schedule_0_[1].png,0,2.061,1.267
schedule_0_[2].png,0,3.607,2.467
schedule_0_[3].png,0,5.213,2.502
schedule_0_[4].png,0,4.342,2.08
calls_1_[0].png,1,0,1.635
calls_1_[1].png,1,0,1.022
calls_1_[2].png,1,0,1.142
calls_1_[3].png,1,0,0.419
calls_1_[4].png,1,0,1.842
calls_0_[0].png,0,21.537,2.639
calls_0_[1].png,0,10.633,1.267
calls_0_[2].png,0,9.854,2.467
calls_0_[3].png,0,10.863,2.502
calls_0_[4].png,0,0.485,2.08
china_1_[0].png,1,0,2.575
china_1_[1].png,1,0,1.426
china_1_[2].png,1,0,0.641
china_1_[3].png,1,0,1.208
china_1_[4].png,1,0,2.163
china_0_[0].png,0,1.55,2.987
china_0_[1].png,0,2.966,2.153
china_0_[2].png,0,6.383,2.359
china_0_[3].png,0,3.708,2.296
china_0_[4].png,0,1.294,1.905
a_1_[0].png,1,0,1.635
a_1_[1].png,1,0,1.022
a_1_[2].png,1,0,1.142
a_1_[3].png,1,0,0.419
a_1_[4].png,1,0,1.842
a_0_[0].png,0,3.606,2.639
a_0_[1].png,0,21.913,1.267
a_0_[2].png,0,14.129,2.467
