#imageName, isWithoutDysgraphia,diffAngle, performanceTime 
the_1_[0].png,1,0,1.913
the_1_[1].png,1,0,0.83
the_1_[2].png,1,0,2.279
the_1_[3].png,1,0,0.977
the_1_[4].png,1,0,0.455
the_0_[0].png,0,4.107,3.036
the_0_[1].png,0,7.694,2.252
the_0_[2].png,0,7.186,2.844
the_0_[3].png,0,0.23,2.631
the_0_[4].png,0,6.326,2.744
answer_1_[0].png,1,0,1.913
answer_1_[1].png,1,0,0.83
answer_1_[2].png,1,0,2.279
answer_1_[3].png,1,0,0.977
answer_1_[4].png,1,0,0.455
answer_0_[0].png,0,3.951,3.036
answer_0_[1].png,0,1.465,2.252
answer_0_[2].png,0,11.819,2.844
answer_0_[3].png,0,0.046,2.631
answer_0_[4].png,0,1.706,2.744
analysis_1_[0].png,1,0,1.913
analysis_1_[1].png,1,0,0.83
analysis_1_[2].png,1,0,2.279
analysis_1_[3].png,1,0,0.977
analysis_1_[4].png,1,0,0.455
analysis_0_[0].png,0,3.801,3.036
analysis_0_[1].png,0,0.882,2.252
analysis_0_[2].png,0,0.629,2.844
analysis_0_[3].png,0,0.484,2.631
analysis_0_[4].png,0,5.725,2.744
documentation_1_[0].png,1,0,1.913
documentation_1_[1].png,1,0,0.83
documentation_1_[2].png,1,0,2.279
documentation_1_[3].png,1,0,0.977
documentation_1_[4].png,1,0,0.455
documentation_0_[0].png,0,2.442,3.036
documentation_0_[1].png,0,0.822,2.252
documentation_0_[2].png,0,0.854,2.844
documentation_0_[3].png,0,0.033,2.631
documentation_0_[4].png,0,2.37,2.744
of_1_[0].png,1,0,0.913
of_1_[1].png,1,0,1.019
of_1_[2].png,1,0,0.604
of_1_[3].png,1,0,1.064
of_1_[4].png,1,0,0.219
of_0_[0].png,0,10.484,3.233
of_0_[1].png,0,3.732,2.115
of_0_[2].png,0,2.407,2.726
of_0_[3].png,0,1.059,2.188
of_0_[4].png,0,7.254,2.192
voice_1_[0].png,1,0,0.913
voice_1_[1].png,1,0,1.019
voice_1_[2].png,1,0,0.604
voice_1_[3].png,1,0,1.064
voice_1_[4].png,1,0,0.219
voice_0_[0].png,0,3.116,3.233
voice_0_[1].png,0,4.683,2.115
voice_0_[2].png,0,10.099,2.726
voice_0_[3].png,0,9.037,2.188
voice_0_[4].png,0,6.51,2.192
request_1_[0].png,1,0,0.913
request_1_[1].png,1,0,1.019
request_1_[2].png,1,0,0.604
request_1_[3].png,1,0,1.064
request_1_[4].png,1,0,0.219
request_0_[0].png,0,9.995,3.233
request_0_[1].png,0,4.87,2.115
request_0_[2].png,0,1.689,2.726
request_0_[3].png,0,5.23,2.188
request_0_[4].png,0,3.571,2.192
monitor_1_[0].png,1,0,0.913
monitor_1_[1].png,1,0,1.019
monitor_1_[2].png,1,0,0.604
monitor_1_[3].png,1,0,1.064
monitor_1_[4].png,1,0,0.219
monitor_0_[0].png,0,6.707,3.233
monitor_0_[1].png,0,0.666,2.115
monitor_0_[2].png,0,0.961,2.726
monitor_0_[3].png,0,6.686,2.188
monitor_0_[4].png,0,12.41,2.192
and_1_[0].png,1,0,1.093
and_1_[1].png,1,0,0.46
and_1_[2].png,1,0,0.968
and_1_[3].png,1,0,0.215
and_1_[4].png,1,0,0.754
and_0_[0].png,0,3.478,1.865
and_0_[1].png,0,0.71,2.286
and_0_[2].png,0,3.477,2.069
and_0_[3].png,0,1.636,2.159
and_0_[4].png,0,6.992,1.201
eg_1_[0].png,1,0,1.093
eg_1_[1].png,1,0,0.46
eg_1_[2].png,1,0,0.968
eg_1_[3].png,1,0,0.215
eg_1_[4].png,1,0,0.754
eg_0_[0].png,0,12.734,1.865
eg_0_[1].png,0,9.615,2.286
eg_0_[2].png,0,7.836,2.069
eg_0_[3].png,0,8.311,2.159
eg_0_[4].png,0,15.379,1.201
fax_1_[0].png,1,0,1.093
fax_1_[1].png,1,0,0.46
fax_1_[2].png,1,0,0.968
fax_1_[3].png,1,0,0.215
fax_1_[4].png,1,0,0.754
fax_0_[0].png,0,8.75,1.865
fax_0_[1].png,0,9.07,2.286
fax_0_[2].png,0,16.695,2.069
fax_0_[3].png,0,3.522,2.159
fax_0_[4].png,0,20.854,1.201
to_1_[0].png,1,0,1.376
to_1_[1].png,1,0,0.31
to_1_[2].png,1,0,2.222
to_1_[3].png,1,0,0.606
to_1_[4].png,1,0,1.138
to_0_[0].png,0,0.068,2.063
to_0_[1].png,0,10.967,2.041
to_0_[2].png,0,0.347,2.815
to_0_[3].png,0,0.694,1.973
to_0_[4].png,0,8.746,2.44
trading_1_[0].png,1,0,1.093
trading_1_[1].png,1,0,0.46
trading_1_[2].png,1,0,0.968
trading_1_[3].png,1,0,0.215
trading_1_[4].png,1,0,0.754
trading_0_[0].png,0,2.259,1.865
trading_0_[1].png,0,10.598,2.286
trading_0_[2].png,0,1.996,2.069
trading_0_[3].png,0,3.941,2.159
trading_0_[4].png,0,3.039,1.201
friendly_1_[0].png,1,0,1.376
friendly_1_[1].png,1,0,0.31
friendly_1_[2].png,1,0,2.222
friendly_1_[3].png,1,0,0.606
friendly_1_[4].png,1,0,1.138
friendly_0_[0].png,0,7.411,2.063
friendly_0_[1].png,0,3.698,2.041
friendly_0_[2].png,0,6.56,2.815
friendly_0_[3].png,0,9.212,1.973
friendly_0_[4].png,0,5.205,2.44
china_1_[0].png,1,0,1.376
china_1_[1].png,1,0,0.31
china_1_[2].png,1,0,2.222
china_1_[3].png,1,0,0.606
china_1_[4].png,1,0,1.138
china_0_[0].png,0,1.222,2.063
china_0_[1].png,0,7.611,2.041
china_0_[2].png,0,1.74,2.815
china_0_[3].png,0,10.421,1.973
china_0_[4].png,0,4.357,2.44
a_1_[0].png,1,0,0.204
a_1_[1].png,1,0,1.345
a_1_[2].png,1,0,0.65
a_1_[3].png,1,0,0.827
a_1_[4].png,1,0,1.505
a_0_[0].png,0,6.199,1.844
a_0_[1].png,0,13.572,1.884
a_0_[2].png,0,1.609,2.568
a_0_[3].png,0,3.326,2.513
a_0_[4].png,0,9.021,2.237
forest_1_[0].png,1,0,1.376
forest_1_[1].png,1,0,0.31
forest_1_[2].png,1,0,2.222
forest_1_[3].png,1,0,0.606
forest_1_[4].png,1,0,1.138
forest_0_[0].png,0,8.423,2.063
forest_0_[1].png,0,2.116,2.041
forest_0_[2].png,0,6.317,2.815
forest_0_[3].png,0,1.492,1.973
forest_0_[4].png,0,3.419,2.44
schedule_1_[0].png,1,0,0.204
schedule_1_[1].png,1,0,1.345
schedule_1_[2].png,1,0,0.65
schedule_1_[3].png,1,0,0.827
schedule_1_[4].png,1,0,1.505
schedule_0_[0].png,0,7.45,1.844
schedule_0_[1].png,0,2.051,1.884
schedule_0_[2].png,0,1.813,2.568
schedule_0_[3].png,0,6.333,2.513
schedule_0_[4].png,0,0.192,2.237
in_1_[0].png,1,0,0.868
in_1_[1].png,1,0,1.529
in_1_[2].png,1,0,0.705
in_1_[3].png,1,0,1.389
in_1_[4].png,1,0,0.838
in_0_[0].png,0,9.037,2.417
in_0_[1].png,0,8.043,2.997
in_0_[2].png,0,3.48,1.926
in_0_[3].png,0,2.116,2.162
in_0_[4].png,0,16.703,1.417
making_1_[0].png,1,0,0.204
making_1_[1].png,1,0,1.345
making_1_[2].png,1,0,0.65
making_1_[3].png,1,0,0.827
making_1_[4].png,1,0,1.505
making_0_[0].png,0,0.826,1.844
making_0_[1].png,0,4.821,1.884
making_0_[2].png,0,8.072,2.568
making_0_[3].png,0,4.122,2.513
making_0_[4].png,0,3.771,2.237
calls_1_[0].png,1,0,0.204
calls_1_[1].png,1,0,1.345
calls_1_[2].png,1,0,0.65
calls_1_[3].png,1,0,0.827
calls_1_[4].png,1,0,1.505
calls_0_[0].png,0,1.951,1.844
calls_0_[1].png,0,1.507,1.884
calls_0_[2].png,0,4.847,2.568
calls_0_[3].png,0,7.838,2.513
calls_0_[4].png,0,12.272,2.237
for_1_[0].png,1,0,1.294
for_1_[1].png,1,0,0.98
for_1_[2].png,1,0,0.302
for_1_[3].png,1,0,1.168
for_1_[4].png,1,0,1.838
for_0_[0].png,0,2.499,2.505
for_0_[1].png,0,1.393,2.954
for_0_[2].png,0,0.611,1.96
for_0_[3].png,0,8.405,1.756
for_0_[4].png,0,11.636,2.988
documents_1_[0].png,1,0,0.868
documents_1_[1].png,1,0,1.529
documents_1_[2].png,1,0,0.705
documents_1_[3].png,1,0,1.389
documents_1_[4].png,1,0,0.838
documents_0_[0].png,0,1.805,2.417
documents_0_[1].png,0,0.351,2.997
documents_0_[2].png,0,4.132,1.926
documents_0_[3].png,0,1.103,2.162
documents_0_[4].png,0,3.089,1.417
picture_1_[0].png,1,0,0.868
picture_1_[1].png,1,0,1.529
picture_1_[2].png,1,0,0.705
picture_1_[3].png,1,0,1.389
picture_1_[4].png,1,0,0.838
picture_0_[0].png,0,8.383,2.417
picture_0_[1].png,0,10.264,2.997
picture_0_[2].png,0,3.402,1.926
picture_0_[3].png,0,13.867,2.162
picture_0_[4].png,0,0.535,1.417
is_1_[0].png,1,0,1.611
is_1_[1].png,1,0,0.448
is_1_[2].png,1,0,1.462
is_1_[3].png,1,0,0.755
is_1_[4].png,1,0,0.926
is_0_[0].png,0,3.705,2.634
is_0_[1].png,0,25.968,2.474
is_0_[2].png,0,6.981,2.253
is_0_[3].png,0,2.576,2.712
is_0_[4].png,0,12.428,2.444
whose_1_[0].png,1,0,0.868
whose_1_[1].png,1,0,1.529
whose_1_[2].png,1,0,0.705
whose_1_[3].png,1,0,1.389
